env_raw,pos_raw,r_idx,th_idx,ph_idx
39244,503072,61,52,32
39224,503073,61,52,33
39362,503136,61,53,32
39393,503137,61,53,33
39489,503264,61,55,32
39584,503265,61,55,33
39355,503266,61,55,34
39501,503328,61,56,32
39594,503329,61,56,33
39441,503330,61,56,34
39248,503391,61,57,31
39671,503392,61,57,32
39645,503393,61,57,33
39271,503394,61,57,34
39344,503455,61,58,31
39709,503456,61,58,32
39835,503457,61,58,33
39587,503458,61,58,34
39251,503519,61,59,31
39723,503520,61,59,32
39945,503521,61,59,33
39631,503522,61,59,34
39246,503583,61,60,31
39675,503584,61,60,32
39949,503585,61,60,33
39709,503586,61,60,34
39313,503647,61,61,31
39746,503648,61,61,32
39823,503649,61,61,33
39721,503650,61,61,34
39282,503711,61,62,31
39786,503712,61,62,32
39896,503713,61,62,33
39605,503714,61,62,34
39264,503775,61,63,31
39765,503776,61,63,32
40061,503777,61,63,33
39697,503778,61,63,34
39611,503840,61,64,32
39973,503841,61,64,33
39706,503842,61,64,34
39369,503904,61,65,32
39737,503905,61,65,33
39738,503906,61,65,34
39637,503968,61,66,32
39752,503969,61,66,33
39453,503970,61,66,34
39561,504032,61,67,32
39799,504033,61,67,33
39560,504034,61,67,34
39402,504096,61,68,32
39721,504097,61,68,33
39615,504098,61,68,34
39199,504160,61,69,32
39508,504161,61,69,33
39499,504162,61,69,34
39258,504224,61,70,32
39400,504225,61,70,33
39312,504226,61,70,34
39413,504289,61,71,33
39279,504290,61,71,34
39376,504353,61,72,33
39296,504354,61,72,34
39214,528161,64,60,33
39243,528225,64,61,33
39179,528289,64,62,33
39217,593469,72,56,61
39277,593533,72,57,61
39313,593597,72,58,61
39234,593598,72,58,62
39285,593661,72,59,61
39272,593662,72,59,62
39175,593724,72,60,60
39473,593725,72,60,61
39306,593726,72,60,62
39218,593788,72,61,60
39618,593789,72,61,61
39489,593790,72,61,62
39176,593852,72,62,60
39594,593853,72,62,61
39536,593854,72,62,62
39442,593917,72,63,61
39527,593918,72,63,62
39211,593980,72,64,60
39518,593981,72,64,61
39401,593982,72,64,62
39278,594044,72,65,60
39656,594045,72,65,61
39606,594046,72,65,62
39248,594108,72,66,60
39741,594109,72,66,61
39595,594110,72,66,62
39233,594172,72,67,60
39662,594173,72,67,61
39608,594174,72,67,62
39593,594237,72,68,61
39523,594238,72,68,62
39646,594301,72,69,61
39487,594302,72,69,62
39609,594365,72,70,61
39550,594366,72,70,62
39506,594429,72,71,61
39536,594430,72,71,62
39252,594493,72,72,61
39311,594494,72,72,62
39373,594557,72,73,61
39299,594558,72,73,62
39330,594621,72,74,61
39253,594622,72,74,62
39255,594685,72,75,61
39274,594686,72,75,62
39170,918557,112,16,29
39179,918558,112,16,30
39214,918559,112,16,31
39201,918560,112,16,32
39170,918561,112,16,33
39244,918622,112,17,30
39264,918623,112,17,31
39245,918624,112,17,32
39221,918625,112,17,33
39168,918685,112,18,29
39246,918686,112,18,30
39305,918687,112,18,31
39265,918688,112,18,32
39239,918689,112,18,33
39229,918750,112,19,30
39229,918751,112,19,31
39278,918752,112,19,32
39264,918753,112,19,33
39184,918814,112,20,30
39235,918815,112,20,31
39262,918816,112,20,32
39216,918817,112,20,33
39184,918878,112,21,30
39227,918879,112,21,31
39226,918880,112,21,32
39217,918881,112,21,33
39168,918941,112,22,29
39171,918942,112,22,30
39244,918943,112,22,31
39171,918944,112,22,32
39186,919005,112,23,29
39253,919006,112,23,30
39257,919007,112,23,31
39196,919008,112,23,32
39228,919069,112,24,29
39287,919070,112,24,30
39252,919071,112,24,31
39236,919072,112,24,32
39184,919133,112,25,29
39235,919134,112,25,30
39312,919135,112,25,31
39269,919136,112,25,32
39204,919137,112,25,33
39233,919198,112,26,30
39262,919199,112,26,31
39233,919200,112,26,32
39176,919201,112,26,33
39214,919263,112,27,31
